debug_loop.thisRepN,debug_loop.thisTrialN,debug_loop.thisN,debug_loop.thisIndex,tob_block_before.thisRepN,tob_block_before.thisTrialN,tob_block_before.thisN,tob_block_before.thisIndex,thisRow.t,notes,surname,age,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,group,order,cost,debug,setup.started,setup_blank.started,setup.stopped,фамилия,возраст,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,с,1,0.010884332998102764,0.02173637499799952,0.02173637499799952,2.8491185829989263,space,2.6657034589989053,None,,,,,,,,с,1,2026-09-11_22h27.34.332,magic_vkr,,2025.1.1,None,2026-09-11 22h27.41.314695 +0400,
,,,,,,,,,,,,,,,,,,,4,after,hard,0,2.8493853330001,2.8584295000000566,2.950987083000655,с,1,2026-09-11_22h27.34.332,magic_vkr,,2025.1.1,None,2026-09-11 22h27.41.314695 +0400,
